id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
347210,Prinia,lepida,,birds,Delicate Prinia,Tero Linjama,Turkey,Göksü delta,36.2944,33.9409,0,song,,,field recording,//xeno-canto.org/347210,https://xeno-canto.org/347210/download,XC347210-683_prigra_laulu2-matala_Turkki_Göksu_2007-05-22.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC347210-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC347210-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC347210-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/ffts/XC347210-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC347210-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC347210-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YSDNMROVID/wave/XC347210-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,07:00,2007-05-22,2016-12-19,[],,yes,yes,no,,,no,,,48000
134455,Prinia,lepida,,birds,Delicate Prinia,Fernand DEROUSSEN,Turkey,"Çukurkamış, Karataş, Adana Province",36.6904,35.365,0,alarm call,,,field recording,//xeno-canto.org/134455,https://xeno-canto.org/134455/download,XC134455-2000050318_Prinia gracilis_A_Turquie_F DEROUSSEN.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134455-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134455-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134455-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134455-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134455-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134455-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134455-large.png'}",//creativecommons.org/licenses/by-nc-nd/3.0/,A,0:41,18:00,2000-05-03,2013-05-22,[],,yes,yes,no,,,no,,,44100
773151,Prinia,lepida,lepida,birds,Delicate Prinia,Tora BENZEYEN,Turkey,"Antalya, Konyaaltı, Antalya",36.859,30.6183,0,call,uncertain,adult,field recording,//xeno-canto.org/773151,https://xeno-canto.org/773151/download,XC773151-Asya-Dikkuyruklu-Ötleğeni.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/ffts/XC773151-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/ffts/XC773151-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/ffts/XC773151-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/ffts/XC773151-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/wave/XC773151-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/wave/XC773151-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ESVXZPBMLR/wave/XC773151-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:06,15:30,2022-12-31,2023-01-04,[],On a small marsh path.,yes,yes,no,,,no,iPhone SE,,48000
654582,Prinia,lepida,,birds,Delicate Prinia,Lider Sinav,Turkey,"Nizip, Gaziantep",37.0417,37.9755,340,song,male,adult,field recording,//xeno-canto.org/654582,https://xeno-canto.org/654582/download,XC654582-ses4.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/ffts/XC654582-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/ffts/XC654582-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/ffts/XC654582-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/ffts/XC654582-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/wave/XC654582-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/wave/XC654582-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RERVWBIVTJ/wave/XC654582-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:23,09:30,2021-06-03,2021-06-05,[],,yes,yes,no,,,no,,,44100
620277,Prinia,lepida,,birds,Delicate Prinia,Cedric Mroczko,Turkey,"Göksu deltası, Silifke, Mersin",36.2935,33.9363,0,call,,,field recording,//xeno-canto.org/620277,https://xeno-canto.org/620277/download,XC620277-201220_002m.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC620277-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC620277-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC620277-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC620277-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC620277-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC620277-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC620277-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:02,14:20,2020-12-20,2021-02-07,['Circus aeruginosus'],d-100 + em172 clippy,no,no,no,,,no,,,44100
144443,Alaudala,heinei,,birds,Turkestan Short-toed Lark,Kerem Ali Boyla,Turkey,"Bitlis, Arin Gölü",38.8095,42.9898,1700,song,,,field recording,//xeno-canto.org/144443,https://xeno-canto.org/144443/download,XC144443-STE-058 Calandrella rufescens Arin Gölü Bitlis 20130709.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC144443-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC144443-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC144443-large.png', 'full': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/ffts/XC144443-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC144443-small.png', 'med': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC144443-med.png', 'large': '//xeno-canto.org/sounds/uploaded/NEMUAOWFZM/wave/XC144443-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,1:47,15:00,2013-07-09,2013-08-07,['Alauda arvensis'],Bird sitting on a dry ground next to the lake shore.,yes,yes,no,,,no,,,48000
141634,Alaudala,heinei,,birds,Turkestan Short-toed Lark,Ottavio Janni,Turkey,"Erçek, Van Merkez, Van Province",38.6958,43.6466,1800,song,,,field recording,//xeno-canto.org/141634,https://xeno-canto.org/141634/download,XC141634-Lesser Short-toed Lark song flight Erceck Golu 240613.MP3,"{'small': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/ffts/XC141634-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/ffts/XC141634-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/ffts/XC141634-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/ffts/XC141634-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/wave/XC141634-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/wave/XC141634-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWMAZXONXH/wave/XC141634-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:40,17:00,2013-06-24,2013-07-05,[],bird engaged in song flight,yes,yes,no,,,no,,,44100
134456,Prinia,lepida,,birds,Delicate Prinia,Fernand DEROUSSEN,Turkey,"Çukurkamış, Karataş, Adana Province",36.6904,35.365,0,song,,,field recording,//xeno-canto.org/134456,https://xeno-canto.org/134456/download,XC134456-2000050323_Prinia gracilis_M_Turquie_F DEROUSSEN.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134456-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134456-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134456-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC134456-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134456-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134456-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC134456-large.png'}",//creativecommons.org/licenses/by-nc-nd/3.0/,B,0:25,19:00,2000-05-03,2013-05-22,[],,yes,yes,no,,,no,,,44100
28806,Prinia,lepida,,birds,Delicate Prinia,Ante Strand,Turkey,Göksü delta,36.294374,33.940887,0,song,,,field recording,//xeno-canto.org/28806,https://xeno-canto.org/28806/download,GracefulPrinia.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28806-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28806-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28806-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28806-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28806-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28806-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28806-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:22,09:40,2002-06-17,2009-01-19,"['Francolinus francolinus', 'Coturnix coturnix']",,unknown,unknown,unknown,,,no,,,44100
28805,Prinia,lepida,,birds,Delicate Prinia,Ante Strand,Turkey,Göksü delta,36.294374,33.940887,0,song,,,field recording,//xeno-canto.org/28805,https://xeno-canto.org/28805/download,GracefulPrinia-1-GoksuDelta-2002-06-17.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28805-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28805-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28805-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/ffts/XC28805-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28805-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28805-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PJDQUPBUKD/wave/XC28805-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:39,09:50,2002-06-17,2009-01-19,"['Porphyrio poliocephalus', 'Acrocephalus scirpaceus', 'Vanellus spinosus']",,unknown,unknown,unknown,,,no,,,44100
